"date";"births";"id.dom";"id.dow";"id.moy"
1968-01-01;2080;1;"lun\.";"janv"
1968-01-02;2319;2;"mar\.";"janv"
1968-01-03;2335;3;"mer\.";"janv"
1968-01-04;2338;4;"jeu\.";"janv"
1968-01-05;2319;5;"ven\.";"janv"
1968-01-06;2212;6;"sam\.";"janv"
1968-01-07;2083;7;"dim\.";"janv"
1968-01-08;2252;8;"lun\.";"janv"
1968-01-09;2261;9;"mar\.";"janv"
1968-01-10;2295;10;"mer\.";"janv"
1968-01-11;2233;11;"jeu\.";"janv"
1968-01-12;2284;12;"ven\.";"janv"
1968-01-13;2168;13;"sam\.";"janv"
1968-01-14;2166;14;"dim\.";"janv"
1968-01-15;2366;15;"lun\.";"janv"
1968-01-16;2368;16;"mar\.";"janv"
1968-01-17;2331;17;"mer\.";"janv"
1968-01-18;2267;18;"jeu\.";"janv"
1968-01-19;2286;19;"ven\.";"janv"
1968-01-20;2301;20;"sam\.";"janv"
1968-01-21;2139;21;"dim\.";"janv"
1968-01-22;2268;22;"lun\.";"janv"
1968-01-23;2290;23;"mar\.";"janv"
1968-01-24;2345;24;"mer\.";"janv"
1968-01-25;2254;25;"jeu\.";"janv"
1968-01-26;2324;26;"ven\.";"janv"
1968-01-27;2303;27;"sam\.";"janv"
1968-01-28;2232;28;"dim\.";"janv"
1968-01-29;2335;29;"lun\.";"janv"
1968-01-30;2352;30;"mar\.";"janv"
1968-01-31;2303;31;"mer\.";"janv"
1968-02-01;2327;1;"jeu\.";"févr"
1968-02-02;2399;2;"ven\.";"févr"
1968-02-03;2228;3;"sam\.";"févr"
1968-02-04;2198;4;"dim\.";"févr"
1968-02-05;2391;5;"lun\.";"févr"
1968-02-06;2516;6;"mar\.";"févr"
1968-02-07;2398;7;"mer\.";"févr"
1968-02-08;2402;8;"jeu\.";"févr"
1968-02-09;2515;9;"ven\.";"févr"
1968-02-10;2410;10;"sam\.";"févr"
1968-02-11;2189;11;"dim\.";"févr"
1968-02-12;2268;12;"lun\.";"févr"
1968-02-13;2359;13;"mar\.";"févr"
1968-02-14;2396;14;"mer\.";"févr"
1968-02-15;2392;15;"jeu\.";"févr"
1968-02-16;2298;16;"ven\.";"févr"
1968-02-17;2204;17;"sam\.";"févr"
1968-02-18;2136;18;"dim\.";"févr"
1968-02-19;2299;19;"lun\.";"févr"
1968-02-20;2372;20;"mar\.";"févr"
1968-02-21;2290;21;"mer\.";"févr"
1968-02-22;2247;22;"jeu\.";"févr"
1968-02-23;2286;23;"ven\.";"févr"
1968-02-24;2342;24;"sam\.";"févr"
1968-02-25;2081;25;"dim\.";"févr"
1968-02-26;2296;26;"lun\.";"févr"
1968-02-27;2272;27;"mar\.";"févr"
1968-02-28;2261;28;"mer\.";"févr"
1968-02-29;2305;29;"jeu\.";"févr"
1968-03-01;2371;1;"ven\.";"mars"
1968-03-02;2385;2;"sam\.";"mars"
1968-03-03;2200;3;"dim\.";"mars"
1968-03-04;2394;4;"lun\.";"mars"
1968-03-05;2391;5;"mar\.";"mars"
1968-03-06;2416;6;"mer\.";"mars"
1968-03-07;2386;7;"jeu\.";"mars"
1968-03-08;2352;8;"ven\.";"mars"
1968-03-09;2454;9;"sam\.";"mars"
1968-03-10;2235;10;"dim\.";"mars"
1968-03-11;2470;11;"lun\.";"mars"
1968-03-12;2389;12;"mar\.";"mars"
1968-03-13;2269;13;"mer\.";"mars"
1968-03-14;2399;14;"jeu\.";"mars"
1968-03-15;2409;15;"ven\.";"mars"
1968-03-16;2477;16;"sam\.";"mars"
1968-03-17;2274;17;"dim\.";"mars"
1968-03-18;2391;18;"lun\.";"mars"
1968-03-19;2450;19;"mar\.";"mars"
1968-03-20;2442;20;"mer\.";"mars"
1968-03-21;2473;21;"jeu\.";"mars"
1968-03-22;2355;22;"ven\.";"mars"
1968-03-23;2370;23;"sam\.";"mars"
1968-03-24;2174;24;"dim\.";"mars"
1968-03-25;2501;25;"lun\.";"mars"
1968-03-26;2441;26;"mar\.";"mars"
1968-03-27;2294;27;"mer\.";"mars"
1968-03-28;2356;28;"jeu\.";"mars"
1968-03-29;2441;29;"ven\.";"mars"
1968-03-30;2456;30;"sam\.";"mars"
1968-03-31;2288;31;"dim\.";"mars"
1968-04-01;2448;1;"lun\.";"avr"
1968-04-02;2361;2;"mar\.";"avr"
1968-04-03;2381;3;"mer\.";"avr"
1968-04-04;2370;4;"jeu\.";"avr"
1968-04-05;2344;5;"ven\.";"avr"
1968-04-06;2454;6;"sam\.";"avr"
1968-04-07;2208;7;"dim\.";"avr"
1968-04-08;2344;8;"lun\.";"avr"
1968-04-09;2348;9;"mar\.";"avr"
1968-04-10;2344;10;"mer\.";"avr"
1968-04-11;2434;11;"jeu\.";"avr"
1968-04-12;2414;12;"ven\.";"avr"
1968-04-13;2435;13;"sam\.";"avr"
1968-04-14;2275;14;"dim\.";"avr"
1968-04-15;2285;15;"lun\.";"avr"
1968-04-16;2516;16;"mar\.";"avr"
1968-04-17;2464;17;"mer\.";"avr"
1968-04-18;2399;18;"jeu\.";"avr"
1968-04-19;2431;19;"ven\.";"avr"
1968-04-20;2502;20;"sam\.";"avr"
1968-04-21;2391;21;"dim\.";"avr"
1968-04-22;2518;22;"lun\.";"avr"
1968-04-23;2427;23;"mar\.";"avr"
1968-04-24;2358;24;"mer\.";"avr"
1968-04-25;2286;25;"jeu\.";"avr"
1968-04-26;2356;26;"ven\.";"avr"
1968-04-27;2404;27;"sam\.";"avr"
1968-04-28;2268;28;"dim\.";"avr"
1968-04-29;2495;29;"lun\.";"avr"
1968-04-30;2459;30;"mar\.";"avr"
1968-05-01;2409;1;"mer\.";"mai"
1968-05-02;2466;2;"jeu\.";"mai"
1968-05-03;2421;3;"ven\.";"mai"
1968-05-04;2551;4;"sam\.";"mai"
1968-05-05;2303;5;"dim\.";"mai"
1968-05-06;2563;6;"lun\.";"mai"
1968-05-07;2447;7;"mar\.";"mai"
1968-05-08;2474;8;"mer\.";"mai"
1968-05-09;2428;9;"jeu\.";"mai"
1968-05-10;2547;10;"ven\.";"mai"
1968-05-11;2478;11;"sam\.";"mai"
1968-05-12;2278;12;"dim\.";"mai"
1968-05-13;2499;13;"lun\.";"mai"
1968-05-14;2584;14;"mar\.";"mai"
1968-05-15;2537;15;"mer\.";"mai"
1968-05-16;2440;16;"jeu\.";"mai"
1968-05-17;2410;17;"ven\.";"mai"
1968-05-18;2387;18;"sam\.";"mai"
1968-05-19;2250;19;"dim\.";"mai"
1968-05-20;2526;20;"lun\.";"mai"
1968-05-21;2384;21;"mar\.";"mai"
1968-05-22;2419;22;"mer\.";"mai"
1968-05-23;2301;23;"jeu\.";"mai"
1968-05-24;2483;24;"ven\.";"mai"
1968-05-25;2364;25;"sam\.";"mai"
1968-05-26;2397;26;"dim\.";"mai"
1968-05-27;2377;27;"lun\.";"mai"
1968-05-28;2427;28;"mar\.";"mai"
1968-05-29;2470;29;"mer\.";"mai"
1968-05-30;2333;30;"jeu\.";"mai"
1968-05-31;2364;31;"ven\.";"mai"
1968-06-01;2359;1;"sam\.";"juin"
